,date,user,text,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,result
125,2020/3/14 0:58,aliya_Hshah,鈥淚naction breeds #doubt &amp; #fear. #Action breeds #confidence &amp; #courage. If you want to #conquer fear  do not sit home &amp; think about it. Go out &amp; get busy.鈥 鈥 Dale Carnegie #quote  #quoteoftheday #Focus  #Ambition #positivity #ConquerEverything https://t.co/xzG1x5p6l3,nan,nan,nan,nan,naction breeds #doubt #fear #action breeds #confidence #courage want #conquer fear home think about busy dale carnegie #quote #quoteoftheday #focus #ambition #positivity #conquereverything
126,2020/3/14 0:58,msvio85,There鈥檚 more chances of #depression killing me rather than the #coronavirus https://t.co/xOEEXXJH9w,nan,nan,nan,nan,there more chances #depression killing rather than #coronavirus
127,2020/3/14 0:59,SmolSoviet,@WebComicNetwork  https://t.co/D1oYEFvR49 Something deep... #art #drawing #webcomics #mentalhealth #depression #cute #positivity #friends #anxiety #AnxietyRelief,nan,nan,nan,nan,something deep #art #drawing #webcomics #mentalhealth #depression #cute #positivity #friends #anxiety #anxietyrelief
128,2020/3/14 0:59,Italyana_,Mir ist Klar das es viele Menschen mit #Depression gibt,nan,nan,nan,nan,klar viele menschen #depression gibt
129,2020/3/14 0:59,somepastorguy,RT @ByronPaulus: #Fear is born of Satan  and if we would only take time to #think a moment,nan,nan,nan,nan,#fear born satan would only take time #think moment
130,2020/3/14 1:00,PigpenRadio,#NowPlaying New Kingston - Kingston Fyah Dub https://t.co/SPPqffEQrx #reggae #funk #hiphop #ska #dub #triphop,nan,nan,nan,nan,#nowplaying kingston kingston fyah #reggae #funk #hiphop #ska #dub #triphop
131,2020/3/14 1:00,fvacoachkathy,Don't let your fear of what could happen  make nothing happen.,nan,nan,nan,nan,your fear what could happen make nothing happen
132,2020/3/14 1:00,SaucyUniverse,https://t.co/es1Dc71AQK &lt;-------- Want to get out of this world and join a better one? Experience your happiness. | RETWEET this to share the sauce | #happy #happiness #world #needs #wants #people #unhappy #unhappiness #depression #depressed #anxiety #lonely,nan,nan,nan,nan,want this world join better experience your happiness retweet this share sauce #happy #happiness #world #needs #wants #people #unhappy #unhappiness #depression #depressed #anxiety #lonely
133,2020/3/14 1:00,SmolSoviet,@WebComicNetwork,nan,nan,nan,nan,
134,2020/3/14 1:01,matteopisano,馃寪https://t.co/z4L1HuMtk7馃寪,nan,nan,nan,nan,
135,2020/3/14 1:01,GoForHealth,Living with Depression? Read This ~~&gt; https://t.co/D88JR2OM58 and reTweet please #depression #stress #mentalhealth https://t.co/lAnIrXvHqu,nan,nan,nan,nan,living with depression read this retweet please #depression #stress #mentalhealth
136,2020/3/14 1:01,coachtomregier,Simple enough. Do the things that scare you until they no longer scare you 馃憡,nan,nan,nan,nan,simple enough things that scare until they longer scare
137,2020/3/14 1:01,tluidart,why u lie? ,nan,nan,nan,nan,
138,2020/3/14 1:02,TheRealDavidLir,***Please RT!***,nan,nan,nan,nan,please
139,2020/3/14 1:02,ParisianPlato,Oh this is really it....... #immaturetweet but #valid (me  alone #scared),nan,nan,nan,nan,this really #immaturetweet #valid alone #scared
140,2020/3/14 1:02,AdvocateMental1,Here's a #FastFact about #depression that is important to know! Learn more @https://advocatementalhealth.wixsite.com/mysite about depression! 馃挌 https://t.co/PdJ9VS4Gjj,nan,nan,nan,nan,here #fastfact about #depression that important know learn more advocatementalhealth wixsite mysite about depression
141,2020/3/14 1:02,ArtArend,"@browserballett Ihr habt in euer scharfsinnigen ""Satire"" vergessen zu erw盲hnen  alone #scared)",nan,nan,nan,nan,habt euer scharfsinnigen satire vergessen hnen alone #scared
142,2020/3/14 1:02,CynicalGirl_,RT @SilenceNotGold: Dr Paul Offit says the best way to sell #vaccines is to use #outbreaks and #fear... He is vaccine patent owner &amp; direct鈥,nan,nan,nan,nan,paul offit says best sell #vaccines #outbreaks #fear vaccine patent owner direct
143,2020/3/14 1:03,JahsFlowerTLC,#PositiveVibesAndEncouragementDAILY: Love  best wishes &amp; #blessings to ALL   from JahsFlower &amp; family. #SuicidePrevention #Depression #Dementia #COVID19 #CoronaVirus #Videos #Photographer #StockMarket #NobelPeacePrize #NobelPrize https://t.co/rFtSI0GsEO,nan,nan,nan,nan,#positivevibesandencouragementdaily love best wishes #blessings from jahsflower family #suicideprevention #depression #dementia #covid #coronavirus #videos #photographer #stockmarket #nobelpeaceprize #nobelprize
144,2020/3/14 1:03,musictogrieveto,Don't Give Up (feat. P!NK &amp; John Legend) - @herbiehancock,nan,nan,nan,nan,give feat john legend
145,2020/3/14 1:03,VAJenny,馃挌 Reposted from realdepressionproject Drop three 馃挌馃挌馃挌 if you can relate,nan,nan,nan,nan,reposted from realdepressionproject drop three relate
146,2020/3/14 1:03,DISCONETFM,Now Playing: Tears For Fears - Shout | #80s #disco #funk #radio #nowplaying  |  [[[[[   TUNE IN:  https://t.co/Emm2VCiflJ   ]]]]] https://t.co/wRTpVBLbi1,nan,nan,nan,nan,playing tears fears shout #disco #funk #radio #nowplaying tune
147,2020/3/14 1:04,Braziliz,#NEWMUSIC #NewRelease ~,nan,nan,nan,nan,#newmusic #newrelease
148,2020/3/14 1:04,akinaribb,@JadoNaf #depression #larme #dehka #tristesse #enmanque #enpls #mourir,nan,nan,nan,nan,#depression #larme #dehka #tristesse #enmanque #enpls #mourir
149,2020/3/14 1:05,tractionline,#Fear of failure! Who are you competing against? ,nan,nan,nan,nan,#fear failure competing against
150,2020/3/14 1:05,ChescoCism,RT @PtsdGear: #MentalHealthAwareness #SuicidePrevention #PTSD #anxiety #depression #FirstResponders #EmergencyServices #Military #Veterans鈥,nan,nan,nan,nan,#mentalhealthawareness #suicideprevention #ptsd #anxiety #depression #firstresponders #emergencyservices #military #veterans
151,2020/3/14 1:05,Misiluti21,The worse way to live is to live in FEAR. That is what the media is trying to do. #DoNotLiveInFear #Fear #CoronaOutbreak,nan,nan,nan,nan,worse live live fear that what media trying #donotliveinfear #fear #coronaoutbreak
152,2020/3/14 1:05,Christine12651,Retweet if you want my fat ass sat on your face ,nan,nan,nan,nan,retweet want your face
153,2020/3/14 1:06,MikeNapier5,RT @libertytarian: I see #panic &amp; #fear in even conservatives now,nan,nan,nan,nan,#panic #fear even conservatives
154,2020/3/14 1:06,rjBarbieBIBI,馃崄馃挩Rol锚 Com As Amigas馃彸锔忊嶐煂,nan,nan,nan,nan,amigas
155,2020/3/14 1:07,Nblackthorne,RT @WendyESlater: TRADUKA addresses etheric energy imbalances and impediments  so that constricted energy in the etheric body is freed up,nan,nan,nan,nan,traduka addresses etheric energy imbalances impediments that constricted energy etheric body freed
