,date,user,text,result
51,2020/3/13 23:20,gWoodi,#tearsofjoy #Sad When lasting genetic-siblings &amp; temp social relationships-marriage jobs-CLASH modernity loses bliss https://t.co/EnYCuYKlA3,#tearsofjoy #sad when lasting genetic siblings temp social relationships marriage jobs clash modernity loses bliss
52,2020/3/13 23:20,ENDRECHERIp,RT @fujitvplus: 銆庨ｇ稓銉夈偔銉ャ儭銉炽偪銉銉 RIDE ON TIME銆,ride time
53,2020/3/13 23:20,703Love2,RT @fujitvplus: 銆庨ｇ稓銉夈偔銉ャ儭銉炽偪銉銉 RIDE ON TIME銆,ride time
54,2020/3/13 23:20,HaisPto,RT @HAIS_ECHS: Our @haisartcar club is painting individual scales for our  @HouArtCarParade Dragon 馃悏!  Our @ArtCarParade car is going to be鈥,club painting individual scales dragon going
55,2020/3/13 23:20,Kada_soulayman,It's : 2020-03-13T23:20:20.9035915Z ,
56,2020/3/13 23:20,loona_univers,#sad,#sad
57,2020/3/13 23:20,ren_ars,RT @fujitvplus: 銆庨ｇ稓銉夈偔銉ャ儭銉炽偪銉銉 RIDE ON TIME銆,ride time
58,2020/3/13 23:20,KarlMatty,La monta帽a fantasma ,monta fantasma
59,2020/3/13 23:20,komeumaso,RT @fujitvplus: 銆庨ｇ稓銉夈偔銉ャ儭銉炽偪銉銉 RIDE ON TIME銆,ride time
60,2020/3/13 23:20,BobforTV,RT @adriennefrantz: I thought I鈥檇 spread some good news today! Look what we are cooking up!! We are having a baby!!! Can鈥檛 wait for @scottb鈥,thought spread some good news today look what cooking having baby wait
61,2020/3/13 23:20,marimo92563943,RT @luna_xxx_f: SHOCK鍐嶃呭欢鏈 鈽 銉栥兂銉栫劶槌 鈽 灏戙... 銉 銈銉°儢銉銈掓洿鏂般仐銇俱仐銇,shock
62,2020/3/13 23:21,richiejhacker55,RT @TrumpOnDrugs: @WhiteHouse But Mr. Presidementia takes no responsibility. #sad ,presidementia takes responsibility #sad
63,2020/3/13 23:21,Anytimevvvvvvv,RT @fujitvplus: 銆庨ｇ稓銉夈偔銉ャ儭銉炽偪銉銉 RIDE ON TIME銆,ride time
64,2020/3/13 23:22,josefmagsig,Nice Home!,nice home
