,date,user,text,result
151,2020/3/14 5:30,BadCoachRiley,@RealTimers As one of the Democrats from South Dakota,democrats from south dakota
152,2020/3/14 5:30,kidddacoco,RT @chrishuizar: See PLENTY more EXCLUSIVE content NOW 馃槼馃槼馃槼,plenty more exclusive content
153,2020/3/14 5:31,_DenverWeather,#Denver,#denver
154,2020/3/14 5:33,brandy8529,Do you want to watch asrm porn? My sex videos on the site #Denver   #construction #history https://t.co/cjQD7FMX3c,want watch asrm porn videos site #denver #construction #history
155,2020/3/14 5:35,davewoodphoto,Introducing lunapistolera ! ~~~ #burlesque #performer #model #blackandwhite #fishnets #denver #denverphotographer #studiophotography 馃嚨馃嚪 @ Dave Wood Photography https://t.co/36GDHQSDtE,introducing lunapistolera #burlesque #performer #model #blackandwhite #fishnets #denver #denverphotographer #studiophotography dave wood photography
156,2020/3/14 5:36,randyoldscolo,馃槩馃槪馃槦,
157,2020/3/14 5:37,randyoldscolo,RT @that5280lady: West Colfax is eerie tonight. Traffic is light. Overhead lights of car lots are off. It's dark and creepy in a different鈥,west colfax eerie tonight traffic light overhead lights lots dark creepy different
158,2020/3/14 5:37,CocoDavies,"Through [the] database, artists list the skills they have, from IT and communications work to babysitting and accounting. People looking to hire in those areas can use the database to get whatever services they need",through database artists list skills they have from communications work babysitting accounting people looking hire those areas database whatever services they need
159,2020/3/14 5:41,ForevaaaVibes,#Denver nights https://t.co/pcwPOIPVi9,#denver nights
160,2020/3/14 5:43,1CypherSessions,This seems like a good time to reflect on everything that's led up to where things are today on this Friday the 13th in March of 2020. So  let's rewind to this time last year:,this seems like good time reflect everything that where things today this friday march rewind this time last year
161,2020/3/14 5:45,StevenM21937692,Tell Sprint to hurry the hell up with the Android 10 update for the OnePlus 7 pro 5g no joke thinking about switching carriers for that reason!! #annoyed #Sprint #OnePlus7Pro,tell sprint hurry hell with android update oneplus joke thinking about switching carriers that reason #annoyed #sprint #oneplus
162,2020/3/14 5:47,coloexplorer,RT @reybombay: Please help me get all my followers back!!!! #ass #booty #thick #curvy #slut #whore #latina #amateur #bbcaddicted #bj #blowj鈥,please help followers back #ass #booty #thick #curvy #slut #whore #latina #amateur #bbcaddicted #blowj
