,date,user,text,result
220,2020/3/13 21:12,1RealLawrence,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
221,2020/3/13 21:12,eviraldeal,#adventure #accessories Men's Business Casual Shirt https://t.co/TFhOfH1URN,#adventure #accessories Business Casual Shirt
222,2020/3/13 21:12,LoisRileyDurham,People at #walmart are going #crazy try to buy everything they can get their hands on while I went in and only got a few items and they are looking at me like I'm the #crazyone. ,People #walmart going #crazy everything they their hands while went only items they looking like #crazyone
223,2020/3/13 21:12,enzono16,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
224,2020/3/13 21:12,FannyWillow,I tell president Erdogan you are a muppet a fool and a moron . If I was in charge of Greece those thugs would be dead already,tell president Erdogan muppet fool moron charge Greece those thugs would dead already
225,2020/3/13 21:12,MaryPop73991303,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
226,2020/3/13 21:12,Rose_birdschirp,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
227,2020/3/13 21:13,willhuhges,RT @Glitter_Rock: Memories of #Crazy Magazine #54 (1979)!,Memories #Crazy Magazine
228,2020/3/13 21:13,milove131,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
229,2020/3/13 21:13,ikheetnietmich,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
230,2020/3/13 21:13,travelfunshop,Portable Solar Power Banks https://t.co/rbsoUDwon8,Portable Solar Power Banks
231,2020/3/13 21:13,RetoDravet,@aupanai,
232,2020/3/13 21:13,apachegirl29,RT @KryssieFortune: Love Regency Romance with w wicked edge?,Love Regency Romance with wicked edge
233,2020/3/13 21:13,Alkhciosbihadal,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
234,2020/3/13 21:13,JackiePurse,RT @BasedPoland: Turkish President Erdogan says that Greeks are the new nazis because they don鈥檛 allow in the tens of thousands of African鈥,Turkish President Erdogan says that Greeks nazis because they allow tens thousands African
